"ID","Title","DateCreated","Enabled","AvgRating","Description","Authors","Webpage","FeedURL","UserID","Coverimage","DisplayOnHomepage","CategoryID","Explicit","Subtitle","Standby","Complete","DiscussURL","Notes","BookISBN","AudioISBN","ITunesLink","EBookLink","LuluLink","PartnerID","DynamicAds","AvgAudioQuality","AvgNarration","AvgWriting","AvgOverall","license","itunescategory","FullLocation","FullLength","FullPrice"
"23","MOREVI: The Chronicles of Rafe and Askana - Abridged","2005-07-23 15:17:40","1","0","<a href=\""http://parsecawards.com\"" target=\""_blank\""><img class=\""donation\"" src=\""http://www.podiobooks.com/images/parsec120.gif\""  width=\""120\"" height=\""80\"" hspace=10 vspace=10 align=right border=0/></a>

Morevi, a landlocked kingdom shrouded by jungles and mystery, falls under the rule of Askana Moldarin, known in her realm as \""The Black Widow\"" following her swift and bloody ascent to the throne. In the dawn of this New Age, hidden traitors in her own regime threaten to destroy everything. Askana, independent of council, seeks help to reveal the conspiracy against her... 

Enter Rafe Rafton, captain of the <em>Defiant</em>.","Tee Morris and Lisa Lee","http://www.teemorris.com/morevi/","http://media.podiobooks.com/pbpromos/Promo-Morevi-01.mp3","807","morevi.jpg","0","2","0","morevi-the-chronicles-of-rafe-and-askana","1","1","http://www.podiobooks.com/blog/2005/09/01/morevi-the-chronicles-of-rafe-and-askana/",,"1896944078",,,,,"0","0","4.53922","4.68932","4.61165","4.67647","by-nc-nd","Literature",NULL,NULL,NULL
"132","A Long Way from Disney - Part I","2007-02-28 11:21:58","1","0","<a href=\""http://parsecawards.com/2007Finalists\"" target=\""_blank\""><img src=\""http://farm2.static.flickr.com/1398/1224364836_1d5a4b70ac_o.gif\"" width=\""80\"" height=\""99\"" alt=\""Parsec-Seal-2007-Nominee\"" align=\""right\"" hspace=\""5\"" /></a>

It\'s the 1980s in Boston: the Celtics are rolling, the Patriots got crushed by the Bears, and the Sox are the Sox. Adam Berkman is learning how far from the warm feelings and epiphanies of Disney Americana his life can be when his parents get a divorce and he has to change schools almost every year. In this collection of linked stories, Seth Harwood takes you on a tour of Boston and its suburbs as he brings you more of the strong, clear writing you found in Jack Wakes Up.

In these stories you\'ll find frog murderers, slow dancers, lessons on basketball, fighting and how to defend your mother, as well as candy flippers, wiggers and portfolio managers, loves turning every direction imaginable -- maybe even good...","Seth Harwood","http://sethharwood.com/","http://media.podiobooks.com/pbpromos/Promo-LongWayDisney-01.mp3","15446","ALongWayfromDisney.jpg","0","7","0","a-long-way-from-disney","0","1","http://www.podiobooks.com/blog/2007/02/28/a-long-way-from-disney/",,,,,,,"0","0","4.77143","4.74286","4.65714","4.71429","by-nc-nd","Literature",,,
"45","hackoff.com","2006-01-31 13:43:47","1","0","Larry Lazard, CEO of hackoff.com, takes his company public and watches its stock price soar and collapse. Following a hostile takeover attempt, Lazard is found dead in his office of an apparently self-inflicted gunshot wound.

Author Tom Evslin, a serial CEO, also took a company public in the Internet bubble and fought off hostile takeover attempts in the subsequent rubble. Unlike Larry, Evslin lived to tell what may be the definitive story of those strange times.

The mystery moves backwards and forwards around the time of Larry\'s death. Sex, power, money, farce, and tragedy mix in boardrooms and bedrooms, the parties of the World Economic Forum in Davos, and the smoky stairway of the South Tower of the World Trade Center.

hackoff.com - not a porn site - provides anti-hacker protection for e-commerce. Larry Lazard started the business after his release from prison to which he was sentenced for a confessed hacker attack on banks.

The folks at hackoff track the company\'s stock price with fatal fascination; an online chat board provides a Greek chorus of contradictory explanations and expectations; analysts spin golden fantasies from websites and eyeballs; traders conjure real fortunes at their trading desks; and everyone who can clamors for \""friends and family\"" stock.

hackoff.com\'s characters include CFO Donna Langhorne, Larry\'s ex-lover and classmate from Harvard Business School and a former swimsuit model; Chief Technical Officer Dom Montain, who dropped out of Caltech to write video games; Detective Mark Cohen, NYPD, who\'s investigating Larry\'s death; Larry\'s wife Louise, who is certain her husband was murdered; and Ahmed Qali, who represents a group of Palestinian programmers in Jenin to which hackoff out-sources work. Along with the bankers, CEOs, and CFOs of dotcom America, are eavesdropping limo drivers and waiters, venture capitalists, hackers, terrorists, and the victims and heroes of 9/11.

If you\'ve ever wanted to be a fly on the wall of the boardrooms, private jets, and ornate meeting rooms of brokerage firms, hackoff.com gives you your chance. You\'ll be better prepared for the next bubble if you read this book but that\'s not why you\'ll eagerly download each online episode. You\'ll do that because the cleverly woven mystery will have you dying to know whodunit.","Tom Evslin","http://hackoff.com",,"0","hackoffcomcover.jpg","0","5","0","hackoff","0","1","http://www.podiobooks.com/blog/2006/02/01/hackoffcom/",,,,,,,"0","0","2.05882","2.41176","3.29412","2.88235","by-nc-nd","Literature",NULL,NULL,NULL
"24","Earthcore","2005-10-22 16:00:36","1","0","Deep below a desolate Utah mountain lays the largest platinum deposit ever discovered. A billion-dollar find, it waits for any company that can drill a world\'s record, three-mile-deep mine shaft.

EarthCore is the company with the technology, the resources and the guts to go after the mother lode. Young executive Connell Kirkland is the company\'s driving force, pushing himself and those around him to uncover the massive treasure.

But Kirkland and EarthCore are not the first to find this treasure. The mountain\'s history reveals two centuries of disappearances, murder, and insanity.

The discovery of ancient platinum knives, razor-sharp despite lying untouched for 1,000 years, reveals evidence of an ancient culture. If the artifacts are genuine, they show a pre-historic empire that once spanned from the Southern tip of South America all the way up through the American Southwest.

Wealth and fame lie under that Utah mountain, but at three miles below the surface, where the rocks are so hot they burn bare skin, something has been waiting for centuries. Waiting ... and guarding. Kirkland and EarthCore are about to find out first-hand why this treasure has never been unearthed.

<a href=\""http://technorati.com/claim/4b4hrzqp6\"" rel=\""me\"">Technorati Profile</a>","Scott Sigler","http://scottsigler.com","http://media.podiobooks.com/pbpromos/EarthCore","547","Earthcore.jpg","0","1","0","earthcore","0","1","http://www.podiobooks.com/blog/2005/11/25/earthcore/",,"1896944329",,,,,"0","1","4.60714","4.63347","4.54762","4.64","by-nc-nd","Literature",,,
"25","Max Quick 1: The Pocket and the Pendant","2005-08-23 15:19:09","1","0","WHEN TIME mysteriously stops, young Max Quick must travel across America to find the source of this \'temporal disaster\'... Along the way, he and his companions encounter ancient mysteries, quantum Books, and clues to the riddle of stopped Time. But the more Max learns, the more it seems that his own true identity is not what he once believed...

\""driven -- and driven well -- by good old-fashioned sci-fi storytelling.\"" - Kirkus Reviews 

ForeWord Magazine \'Book of the Year\' Finalist 2005","Mark Jeffrey","http://markjeffrey.typepad.com/",,"37","display_thumbnail1_3-1.jpg","1","10","3","the-pocket-and-the-pendant","0","1","http://www.podiobooks.com/blog/2005/09/01/the-pocket-and-the-pendant/",,"1411613236",,,,,"0","0","4.77037","4.77778","4.67778","4.74444","by-nc-nd","Literature",,,
"26","Tom Corven","2005-11-25 16:22:22","1","0","On a remote coast in Scotland, a boy opens his eyes to a world he does not recognise. Almost dead, he stumbles on a desolate cottage where he meets the beautiful Katriana and a man she professes to be her uncle.

Stormbound and haunted by visions, the boy, Tom Corven is his name, soon realises that finding Creggan was no accident. But as he uncovers the truth of his unique place in the universe, Tom must find and control the power he harbours before it destroys him. Only then will he be ready to fight the evil stalking him to Creggan and only then will he understand that the fate of billions rests with what he does next.","Paul Story","http://www.dreamwords.com/TomCorven.htm",,"0","TomCorven.jpg","1","7","0","tom-corven","0","1","http://www.podiobooks.com/blog/2005/11/25/tom-corven/",,,,,,,"0","0","4.32353","4.38235","4.36364","4.40625","by-nc-nd","Literature",,,
"39","Aliens and Satanic Creatures Wanted: Humans Need Not Apply","2005-12-04 09:36:29","1","0","Do you think its easy being an alien, a satanic creature or anything else not considered part of the Homo sapiens only club? They have tough days just like humans do and their frustration is growing. Don't believe it? Well, what about Lucifer, the prince of darkness, who runs a car dealership--what about his feelings when he is faced with that impossible sale and he can't get that signature on form 666, the standard soul contract? Or maybe you wondered about how an extremely vain alien copes with having a bad hair day as he tries to alter the future of Earth? Will his cosmetic problems be our problems in other ways? Perhaps you heard about the opposite vampire who loves to give blood, hates the darkness and has a fetish for garlic - how does he get through a bad relationship? How about a DNA altered cat that has been given the personality of one of the world's most fearsome criminals? Will its human owners understand or will it be a less then purr-fect arrangement? 

What's the common thread do all this discontent, you ask? What is it about most stories that stay the same? It's the human! These aliens and demonic creatures are sick and tired of being the second fiddle in the story. They want what everybody wants: to be the center of attention of the stories instead of the pesky humans for a change...and now they finally get their wish. In Aliens and Satanic Creatures Wanted: Humans Need Not Apply, they finally get top billing and they exploit it as far as they can. 
","Tony Ruggiero",,,"6732","AliensandSatanic.jpg","0","1","0","aliens-and-satanic-creatures-wanted-humans-need-no","0","1","http://www.podiobooks.com/blog/2005/12/04/aliens-and-satanic-creatures-wanted-humans-need-not-apply/",,"0759935351",,,,,"0","0","3.18182","3.32558","3.5814","3.44186","by-nc-nd","Literature",NULL,NULL,NULL
"27","WELCOME TO THE BEEHIVE: A beginners guide to conquering the world of business","2005-09-19 15:12:48","1","0","Every one of us is engaged in a quest in this life. The quest is why we get up early in the mornings or very late at night and leave the safety of our homes and families. We venture out into a world where the rules are different then the rules we grew up with. We find that the rules are different than the ones we were taught in school. We get into our cars. We hail taxi cabs. We walk in the rain. We take trains and buses. We navigate security lines at crowded airports. In short, we make the necessary sacrifices to insure that we can not only survive but thrive in this life. We do what needs to be done because we want more out of this life.

During this quest have you ever felt like you needed to step back and get a clear view of the situation? Have you ever felt overwhelmed, lost or unsatisfied with your progress?

Welcome to the beehive.

Let\'s face facts. Higher education only covers a small portion of what a person needs to know in order to excel in the world of business. The rest is up to you. The author, like most people, learned this fact the hard way. Through this book, the author shares with you the most basic (and most critical) lessons he\'s learned since entering the beehive.

Welcome to the Beehive addresses the core of the lessons the author has learned while achieving success in his life. These lessons represent a starting point on which to build your entire business philosophy. Each lesson includes practical examples from the author\'s life and the lives of people who\'ve achieved success in business. Inspirational passages amplify the message delivered with each lesson. All the lessons contain exercises designed to stimulate personal thought and help reinforce the topics covered in the book. Welcome to the Beehive is a street level business book providing the reader with a back-to-basics approach. It gets to the point and provides the reader with a solid tool that they can refer to time and again for inspiration and empowerment while making their way in the world of business.","Robert J. Safuto","http://www.welcometothebeehive.com/","http://media.podiobooks.com/pbpromos/Promo-Beehive-01.mp3","15827","behive.jpg","1","3","0","welcome-to-the-beehive-a-beginners-guide-to-conque","0","1","http://www.podiobooks.com/blog/2005/09/12/welcome-to-the-beehive-a-beginners-guide-to-conquering-the-world-of-business/",,,,,,,"0","0","3.83333","3.83333","3.16667","3.33333","by-nc-nd","Literature",NULL,NULL,NULL
"29","Noggle Stones","2005-09-13 18:19:49","1","0","Shunned by his people and tormented by nightmare visions, Bugbear, the mad goblin scholar, ventures into the wilderness with his ne\'er-do-well cousin, Tudmire, to seek out an ancient ruin and the lost wisdom it holds.

Soon the cousins find themselves embroiled in cosmic events as their magical world of Annwfn is merged with 19th Century Earth after an accident concerning a mysterious scroll Tudmire acquires in a crooked game of Noggle Stones. While fleeing the enraged ogres they cheated, Bugbear and Tudmire happen upon Martin Manchester, who appears to be a creature of mythology known as a human. Bugbear takes Manchester as his apprentice, agreeing to teach him the empowering ways of Non-Logical Thought.  The trio soon discovers that dark forces have aligned against them, and the two worlds may have been merged only to be destroyed!","Wil Radcliffe","http://nogglestones.com",,"338","NoggleStones.jpg","0","10","3","noggle-stones","0","1","http://www.podiobooks.com/blog/2005/09/12/nogglestones/",,"097736769X",,,,,"0","0","4.81395","4.02273","4.5","4.34091","by-nc-nd","Literature",,,
"38","The Wonderful Wizard of Oz","2005-11-20 08:23:32","1","0","From the Reader, Jason Pomerantz:

The Wonderful Wizard of Oz has been called \""the first true American fairy tale\"" and it richly deserves the title.  The story of Dorothy\'s epic journey through a strange land, filled with terrifying enemies and loyal allies, resonates today as much as it did when it was first written, at the turn of the last century.

You\'ve probably seen the movie countless times, so you might not expect any surprises from the book.  But when you listen, you\'ll be charmed by how imaginative it is, and in a way that\'s different from the film.

I dearly love the movie, but, in this reading, I\'ve tried to approach the story as if I\'d never seen it.  My Dorothy is a little younger than her cinematic counterpart and her trio of beloved friends - The Scarecrow, The Tin Woodsman and The Cowardly Lion - are all just a little sillier.  It\'s hard to escape from the shadow of the MGM spectacular, but I\'ve done my best.
I hope you have as much fun listening as I\'m having recording!

So sit back, put on your slippers (ruby, silver or whatever color you like) and watch out for flying monkeys!  Load up your MP3 player and remember - There\'s no place like home!
","L. Frank Baum (read by Jason Pomerantz)","http://www.mamalisa.com/classics/oz.html",,"444","WizardOfOz.jpg","1","9","2","the-wonderful-wizard-of-oz","0","1","http://www.podiobooks.com/blog/2005/11/20/the-wonderful-wizard-of-oz/",,"0688166776",,,,,"0","0","4.4","4.13333","4.66667","4.13333","by-sa","Literature",,,
